customer_id,transaction_id
2950,1
3120,2
402,3
3135,4
787,5
2339,6
1542,7
2459,8
1305,9
3262,10
1986,11
2783,12
1243,13
2717,14
247,15
2961,16
1842,18
2268,19
3002,20
1582,21
595,22
2001,23
515,24
2822,25
2596,26
2666,27
76,28
3368,29
1173,30
2810,31
3214,32
1272,33
2003,34
2171,35
3356,36
1040,37
2916,38
427,39
2448,40
2570,41
3398,42
488,43
165,44
2787,45
3053,46
475,47
1305,48
1251,49
3103,50
3108,51
857,52
3455,53
2549,54
3140,55
3406,56
2294,57
1031,58
993,59
1839,61
1824,62
368,63
825,65
3315,66
75,67
1498,68
1612,69
2192,70
419,71
3307,72
2430,73
1506,74
1346,75
927,76
763,77
2397,78
102,79
2884,80
759,81
773,82
3398,83
3297,84
2434,85
1861,86
1233,87
1390,88
2682,89
439,90
1579,91
2984,92
3470,93
1,94
757,95
1778,96
211,97
32,99
119,100
2347,101
2353,102
788,103
1468,104
821,105
2489,106
2710,107
947,108
1335,109
1076,110
3320,111
779,112
3296,113
455,114
1779,115
2703,116
806,117
1591,119
678,120
50,121
1453,123
1339,124
3382,125
773,126
2503,127
1057,128
1397,129
2134,130
2403,131
1937,132
1282,133
2183,134
1788,135
1170,136
431,137
1940,138
2073,139
462,140
2728,141
2053,142
2135,143
1217,144
2992,145
3261,146
2748,147
3262,148
788,149
3067,150
701,151
648,152
3286,153
3383,154
982,155
676,156
385,157
1229,158
3232,159
3300,160
2381,161
371,162
2519,163
2264,164
2637,165
3262,166
2267,168
456,169
3121,171
2365,172
2528,173
3241,175
1335,176
2234,177
3226,178
1365,179
3349,180
1002,181
2282,182
2656,183
2409,184
1711,185
2582,186
1005,187
1597,188
2713,189
1435,190
1614,192
1254,193
1423,194
276,195
1315,196
591,197
1017,198
2123,199
2889,200
3208,201
2406,202
2041,203
1598,204
1842,205
141,206
1321,207
183,208
2591,209
3356,210
766,211
1596,212
520,213
868,214
352,216
1140,217
621,218
3307,219
1502,220
936,221
939,222
2698,223
579,224
2036,225
3077,226
369,227
821,228
2687,229
681,230
37,231
3002,232
396,233
550,234
1605,235
2325,236
1420,237
3099,238
1645,239
546,240
2885,241
2740,242
3166,243
3487,244
2890,245
3370,246
3393,247
2410,248
3466,249
1454,250
3089,252
3123,253
2692,254
2801,255
1580,256
352,257
1777,258
142,259
3393,260
1258,262
3405,263
3198,264
834,265
3467,266
3436,267
1516,268
2833,269
2362,270
2337,271
2149,272
2133,273
360,274
2969,275
1720,276
2904,277
754,278
1826,279
2487,280
2815,281
541,282
302,283
2024,284
142,285
768,286
2147,287
529,288
825,289
624,290
2302,291
3380,292
314,293
1079,294
1643,295
1524,296
3205,297
2860,298
772,299
323,300
1883,303
2745,304
2819,305
792,306
923,307
3353,308
3394,309
3213,310
3260,311
1015,312
2266,313
58,314
3118,315
1414,316
2202,317
2144,318
1033,319
2157,320
1097,321
2757,322
87,323
2049,324
952,325
1745,326
40,327
372,328
1627,329
444,330
217,331
1656,332
485,333
3103,335
506,336
1881,338
2903,339
1274,340
1443,341
2091,342
1493,344
1614,345
476,346
1777,347
940,348
2930,349
2354,350
1582,351
416,352
1013,353
533,354
968,355
727,356
1160,357
3425,358
1614,359
2140,360
2589,361
62,363
1112,364
1995,365
1965,366
1614,367
366,368
2682,369
2993,370
1887,371
1692,372
1927,373
2567,374
3276,375
1808,376
2368,377
470,378
3270,379
880,381
309,382
1698,383
1434,384
2712,385
832,387
1033,388
2834,389
3015,390
3484,391
2775,392
1208,393
2109,394
3195,395
3366,396
2492,397
389,398
552,400
3009,401
2925,402
140,403
209,404
225,405
1595,406
2559,407
769,408
1282,409
2377,410
3355,411
