transaction_id,product_id,customer_id,transaction_date,online_order,order_status,list_price,standard_cost,brand,product_line,product_class,product_size
1,2,2950,2017-02-25,0.0,Approved,71.49,53.62,Solex,Standard,medium,medium
2,3,3120,2017-05-21,1.0,Approved,2091.47,388.92,Trek Bicycles,Standard,medium,large
3,37,402,2017-10-16,0.0,Approved,1793.43,248.82,OHM Cycles,Standard,low,medium
4,88,3135,2017-08-31,0.0,Approved,1198.46,381.1,Norco Bicycles,Standard,medium,medium
5,78,787,2017-10-01,1.0,Approved,1765.3,709.48,Giant Bicycles,Standard,medium,large
6,25,2339,2017-03-08,1.0,Approved,1538.99,829.65,Giant Bicycles,Road,medium,medium
7,22,1542,2017-04-21,1.0,Approved,60.34,45.26,WeareA2B,Standard,medium,medium
8,15,2459,2017-07-15,0.0,Approved,1292.84,13.44,WeareA2B,Standard,medium,medium
9,67,1305,2017-08-10,0.0,Approved,1071.23,380.74,Solex,Standard,medium,large
10,12,3262,2017-08-30,1.0,Approved,1231.15,161.6,WeareA2B,Standard,medium,medium
11,5,1986,2017-01-17,0.0,Approved,574.64,459.71,Trek Bicycles,Mountain,low,medium
12,61,2783,2017-01-05,1.0,Approved,71.16,56.93,OHM Cycles,Standard,low,medium
13,35,1243,2017-02-26,1.0,Approved,1057.51,154.4,Trek Bicycles,Standard,low,medium
14,16,2717,2017-09-10,0.0,Approved,1661.92,1479.11,Norco Bicycles,Standard,high,small
15,12,247,2017-06-11,0.0,Approved,1765.3,709.48,Giant Bicycles,Standard,medium,large
16,3,2961,2017-10-10,0.0,Approved,2091.47,388.92,Trek Bicycles,Standard,medium,large
18,33,1842,2017-06-02,0.0,Approved,1311.44,1167.18,Giant Bicycles,Standard,medium,small
19,54,2268,2017-04-06,1.0,Approved,1292.84,13.44,WeareA2B,Standard,medium,medium
20,25,3002,2017-01-28,1.0,Approved,1538.99,829.65,Giant Bicycles,Road,medium,medium
21,27,1582,2017-10-09,0.0,Approved,499.53,388.72,Trek Bicycles,Standard,medium,medium
22,37,595,2017-06-29,1.0,Approved,1793.43,248.82,OHM Cycles,Standard,low,medium
23,37,2001,2017-04-08,1.0,Approved,1793.43,248.82,OHM Cycles,Standard,low,medium
24,82,515,2017-10-18,0.0,Approved,1538.99,829.65,Giant Bicycles,Road,medium,medium
25,89,2822,2017-06-11,0.0,Approved,1362.99,57.74,WeareA2B,Touring,medium,large
26,64,2596,2017-01-10,0.0,Approved,1469.44,596.55,Trek Bicycles,Standard,medium,large
27,64,2666,2017-04-11,1.0,Approved,1469.44,596.55,Trek Bicycles,Standard,medium,large
28,19,76,2017-12-23,0.0,Approved,574.64,459.71,Trek Bicycles,Mountain,low,medium
29,72,3368,2017-10-13,1.0,Approved,360.4,270.3,Norco Bicycles,Standard,medium,medium
30,91,1173,2017-03-15,0.0,Approved,642.31,513.85,WeareA2B,Standard,low,medium
